Repeat,Packet,Received Bytes,Delta Time in ns
1,1,1200,0
1,2,1200,223281
1,3,1200,8283385
1,4,1200,8529895
1,5,1200,8652395
1,6,1200,8841822
1,7,1200,8962135
1,8,1200,9081979
1,9,1200,9201718
1,10,1200,9918177
1,11,1200,10116927
1,12,1200,10320364
1,13,1200,10520937
1,14,1200,10719739
1,15,1200,10917552
1,16,1200,11065416
1,17,1200,11314479
1,18,1200,11452291
1,19,1200,11567395
1,20,1200,11684062
1,21,1200,11804218
1,22,1200,11931614
1,23,1200,12053958
1,24,1200,12191458
1,25,1200,12311875
1,26,1200,12432031
1,27,1200,12550625
1,28,1200,12672395
1,29,1200,12790364
1,30,1200,12907812
1,31,1200,13042552
1,32,1200,13162864
1,33,1200,13320364
1,34,1200,13458229
1,35,1200,13573750
1,36,1200,13696614
1,37,1200,13819635
1,38,1200,13959322
1,39,1200,14076093
1,40,1200,14192395
2,1,1200,0
2,2,1200,7952552
2,3,1200,8143645
2,4,1200,8313541
2,5,1200,8483698
2,6,1200,8645833
2,7,1200,8821718
2,8,1200,8994114
2,9,1200,9189895
2,10,1200,9360885
2,11,1200,9528385
2,12,1200,9697031
2,13,1200,9864843
2,14,1200,10030104
2,15,1200,10197343
2,16,1200,10384375
2,17,1200,10556302
2,18,1200,10729323
2,19,1200,10898437
2,20,1200,11201614
2,21,1200,11461354
2,22,1200,11625156
2,23,1200,11826041
2,24,1200,11993593
2,25,1200,12164791
2,26,1200,16247552
2,27,1200,17189635
2,28,1200,17350468
2,29,1200,17502187
2,30,1200,17650989
2,31,1200,17801458
2,32,1200,17954843
2,33,1200,18104166
2,34,1200,18271250
2,35,1200,18438593
2,36,1200,19160677
2,37,1200,19307916
2,38,1200,19452083
2,39,1200,19599218
2,40,1200,19762916
3,1,1200,0
3,2,1200,52395
3,3,1200,89531
3,4,1200,126614
3,5,1200,6947968
3,6,1200,6985260
3,7,1200,7020937
3,8,1200,7055833
3,9,1200,7098593
3,10,1200,7133593
3,11,1200,7168385
3,12,1200,7203281
3,13,1200,7240937
3,14,1200,7570052
3,15,1200,7610729
3,16,1200,7652187
3,17,1200,7688125
3,18,1200,7730260
3,19,1200,7764843
3,20,1200,7799791
3,21,1200,7835000
3,22,1200,7869791
3,23,1200,7910833
3,24,1200,8243073
3,25,1200,8279739
3,26,1200,8315520
3,27,1200,8351145
3,28,1200,8385208
3,29,1200,8420208
3,30,1200,8461927
3,31,1200,8496302
3,32,1200,8530885
3,33,1200,8566354
3,34,1200,8602812
3,35,1200,8653645
3,36,1200,8689843
3,37,1200,8730312
3,38,1200,8766198
3,39,1200,8800885
3,40,1200,8836875
