Repeat,Packet,Received Bytes,Delta Time in ns
1,1,6200,0
1,2,6200,82969
1,3,6200,6291667
1,4,6200,6576823
1,5,6200,6625573
1,6,6200,6885521
1,7,6200,6939375
1,8,6200,6984427
1,9,6200,7029167
1,10,6200,7228698
1,11,6200,12596198
1,12,6200,12651406
1,13,6200,12948281
1,14,6200,13004531
1,15,6200,13051823
1,16,6200,13096771
1,17,6200,13149114
1,18,6200,13206510
1,19,6200,13251823
1,20,6200,18293646
1,21,6200,18489219
1,22,6200,18537239
1,23,6200,18841146
1,24,6200,18898125
1,25,6200,18946354
1,26,6200,18993854
1,27,6200,19042708
1,28,6200,24364739
1,29,6200,25068750
1,30,6200,25118489
1,31,6200,25172604
1,32,6200,25217760
1,33,6200,25264114
1,34,6200,25320260
1,35,6200,29676927
1,36,6200,29910469
1,37,6200,29954635
1,38,6200,30151146
1,39,6200,30197656
1,40,6200,30241198
1,41,6200,30485052
1,42,6200,30528594
1,43,6200,30573489
1,44,6200,30617917
1,45,6200,36331354
1,46,6200,36386042
1,47,6200,36622500
1,48,6200,36668281
1,49,6200,36926146
1,50,6200,36972083
1,51,6200,37018333
1,52,6200,37071302
1,53,6200,42246458
1,54,6200,42492239
1,55,6200,42735989
1,56,6200,42783281
1,57,6200,42828698
1,58,6200,42872135
1,59,6200,42921719
1,60,6200,42969687
1,61,6200,48332864
1,62,6200,48578385
1,63,6200,48626875
1,64,6200,48903385
1,65,6200,48950989
1,66,6200,50172864
1,67,6200,50221979
1,68,6200,50268750
1,69,6200,54485937
1,70,6200,54783177
1,71,6200,54828698
1,72,6200,54984062
1,73,6200,55035521
1,74,6200,55081302
1,75,6200,55131875
1,76,6200,55177760
1,77,6200,55221927
1,78,6200,60312448
1,79,6200,60529375
1,80,6200,60577552
1,81,6200,60645312
1,82,6200,60954114
1,83,6200,61000364
1,84,6200,61052708
1,85,6200,61324062
1,86,6200,66211562
1,87,6200,66269375
1,88,6200,66558906
1,89,6200,66805989
1,90,6200,66852083
1,91,6200,66897031
1,92,6200,66941354
1,93,6200,66993698
1,94,6200,72335625
1,95,6200,72589479
1,96,6200,72637083
1,97,6200,72896510
1,98,6200,72952031
1,99,6200,72996614
1,100,6200,73047448
1,101,6200,73101979
1,102,6200,78284479
1,103,6200,78520104
1,104,6200,78565781
1,105,6200,78810937
1,106,6200,78854219
1,107,6200,78906042
1,108,6200,78950469
1,109,6200,79013646
1,110,6200,84305417
1,111,6200,84639635
1,112,6200,84821771
1,113,6200,84985000
1,114,6200,85030260
1,115,6200,85075417
1,116,6200,85118333
1,117,6200,85172187
1,118,6200,85225469
1,119,6200,90395208
1,120,6200,90581614
1,121,6200,90627031
1,122,6200,90672812
1,123,6200,91208542
1,124,6200,91257239
1,125,6200,91324635
1,126,6200,91369062
1,127,6200,97046771
1,128,6200,97098489
1,129,6200,97304375
1,130,6200,102011875
1,131,6200,102050208
1,132,6200,102086562
1,133,6200,102119948
1,134,6200,102153073
1,135,6200,102805052
1,136,6200,102969062
1,137,6200,102999427
1,138,6200,103028802
1,139,6200,103056771
1,140,6200,103289531
1,141,6200,103323802
1,142,6200,103354114
1,143,6200,103383646
1,144,6200,103413906
1,145,6200,108322552
1,146,6200,108603385
1,147,6200,108641667
1,148,6200,108672760
1,149,6200,108702708
1,150,6200,108732917
2,1,6200,0
2,2,6200,6666979
2,3,6200,6844323
2,4,6200,6876771
2,5,6200,6906354
2,6,6200,7230937
2,7,6200,7262864
2,8,6200,7292812
2,9,6200,7322396
2,10,6200,12737864
2,11,6200,12913854
2,12,6200,12945156
2,13,6200,12975625
2,14,6200,13340260
2,15,6200,13374010
2,16,6200,13403177
2,17,6200,13432864
2,18,6200,19382604
2,19,6200,19540156
2,20,6200,19575885
2,21,6200,19614427
2,22,6200,19647916
2,23,6200,19682031
2,24,6200,19717135
2,25,6200,19752500
2,26,6200,19786354
2,27,6200,24816458
2,28,6200,24992135
2,29,6200,25023177
2,30,6200,25052864
2,31,6200,25403958
2,32,6200,25435312
2,33,6200,25464739
2,34,6200,25494375
2,35,6200,30785364
2,36,6200,31004896
2,37,6200,31035677
2,38,6200,31065208
2,39,6200,31293698
2,40,6200,31323437
2,41,6200,31352239
2,42,6200,31382031
2,43,6200,36745312
2,44,6200,36976823
2,45,6200,37008646
2,46,6200,37172291
2,47,6200,37316614
2,48,6200,37349062
2,49,6200,37378750
2,50,6200,37407760
2,51,6200,37439271
2,52,6200,42832135
2,53,6200,43005000
2,54,6200,43035989
2,55,6200,43066666
2,56,6200,43413281
2,57,6200,43455208
2,58,6200,43485937
2,59,6200,43518541
2,60,6200,48843802
2,61,6200,48880364
2,62,6200,49093593
2,63,6200,49124479
2,64,6200,49152916
2,65,6200,49444114
2,66,6200,49477916
2,67,6200,49508802
2,68,6200,55035000
2,69,6200,55069479
2,70,6200,55229843
2,71,6200,55383489
2,72,6200,55415625
2,73,6200,55448125
2,74,6200,55478125
2,75,6200,55507916
2,76,6200,55537604
2,77,6200,60911093
2,78,6200,61081041
2,79,6200,61111927
2,80,6200,61141146
2,81,6200,61664010
2,82,6200,61697552
2,83,6200,61727708
2,84,6200,61756823
2,85,6200,67809166
2,86,6200,67846979
2,87,6200,67880468
2,88,6200,67910937
2,89,6200,67942500
2,90,6200,67974635
2,91,6200,68003854
2,92,6200,68032760
2,93,6200,73131146
2,94,6200,73168958
2,95,6200,73199479
2,96,6200,73477812
2,97,6200,73509427
2,98,6200,73543593
2,99,6200,73573750
2,100,6200,73603958
2,101,6200,73633593
2,102,6200,79175260
2,103,6200,79210989
2,104,6200,79241354
2,105,6200,79270833
2,106,6200,79823802
2,107,6200,79879375
2,108,6200,87063854
2,109,6200,87099114
2,110,6200,87129479
2,111,6200,87160937
2,112,6200,87193333
2,113,6200,87225104
2,114,6200,87256979
2,115,6200,87288489
2,116,6200,87329323
2,117,6200,87364739
2,118,6200,91161458
2,119,6200,91197031
2,120,6200,91227343
2,121,6200,91464948
2,122,6200,91499583
2,123,6200,91554843
2,124,6200,91584427
2,125,6200,91613333
2,126,6200,97042916
2,127,6200,97261510
2,128,6200,97292760
2,129,6200,97457968
2,130,6200,97562812
2,131,6200,97594791
2,132,6200,97626458
2,133,6200,97660468
2,134,6200,103734948
2,135,6200,103772864
2,136,6200,103805468
2,137,6200,103836718
2,138,6200,103867135
2,139,6200,103897812
2,140,6200,103929218
2,141,6200,103958541
2,142,6200,103988333
2,143,6200,109094166
2,144,6200,109316771
2,145,6200,109360260
2,146,6200,109391041
2,147,6200,109420625
2,148,6200,109778333
2,149,6200,109840521
2,150,6200,111300573
3,1,6200,0
3,2,6200,6645781
3,3,6200,6827916
3,4,6200,6862916
3,5,6200,6894427
3,6,6200,7215364
3,7,6200,7248489
3,8,6200,7277708
3,9,6200,7308020
3,10,6200,12714739
3,11,6200,12901406
3,12,6200,12936145
3,13,6200,12971093
3,14,6200,13356406
3,15,6200,13387812
3,16,6200,13429114
3,17,6200,13460416
3,18,6200,18702552
3,19,6200,18874479
3,20,6200,18908124
3,21,6200,18937916
3,22,6200,19301979
3,23,6200,19333958
3,24,6200,19364947
3,25,6200,19394218
3,26,6200,24752135
3,27,6200,24988333
3,28,6200,25022083
3,29,6200,25053958
3,30,6200,25300468
3,31,6200,25332968
3,32,6200,25366249
3,33,6200,25397968
3,34,6200,30967187
3,35,6200,31002656
3,36,6200,31033593
3,37,6200,31268489
3,38,6200,31300677
3,39,6200,31330416
3,40,6200,31359739
3,41,6200,31390208
3,42,6200,36995364
3,43,6200,37031041
3,44,6200,37061406
3,45,6200,37090364
3,46,6200,37366614
3,47,6200,37398437
3,48,6200,37427760
3,49,6200,37457135
3,50,6200,37486406
3,51,6200,42745937
3,52,6200,42781874
3,53,6200,42953697
3,54,6200,42985468
3,55,6200,43354166
3,56,6200,43387187
3,57,6200,43419322
3,58,6200,43449843
3,59,6200,48742552
3,60,6200,48968749
3,61,6200,49000885
3,62,6200,49236562
3,63,6200,49267552
