Repeat,Packet,Received Bytes,Delta Time in ns
1,1,1200,0
1,2,1200,83697
1,3,1200,154010
1,4,1200,240312
1,5,1200,7355052
1,6,1200,7784583
1,7,1200,7824531
1,8,1200,7860625
1,9,1200,7898958
1,10,1200,8125156
1,11,1200,8160885
1,12,1200,8197395
1,13,1200,8235937
1,14,1200,8271406
1,15,1200,8306822
1,16,1200,8344739
1,17,1200,8386875
1,18,1200,8429479
1,19,1200,8468229
1,20,1200,8505729
1,21,1200,8543489
1,22,1200,8579843
1,23,1200,8616562
1,24,1200,8671562
1,25,1200,8708489
1,26,1200,8743697
1,27,1200,8781614
1,28,1200,8819062
1,29,1200,8855208
1,30,1200,8892447
1,31,1200,8934218
1,32,1200,8971770
1,33,1200,9007968
1,34,1200,9051406
1,35,1200,9088697
1,36,1200,9126614
1,37,1200,9164791
1,38,1200,9208645
1,39,1200,9245364
1,40,1200,9298125
1,41,1200,9334635
1,42,1200,9370312
1,43,1200,9408020
1,44,1200,9445364
1,45,1200,9489895
1,46,1200,9527135
1,47,1200,9565781
1,48,1200,13490260
1,49,1200,13535416
1,50,1200,13572395
1,51,1200,13609322
1,52,1200,13652916
1,53,1200,13691250
1,54,1200,13730312
1,55,1200,13785052
1,56,1200,13822395
1,57,1200,13859375
1,58,1200,13897864
1,59,1200,13941770
1,60,1200,13978750
1,61,1200,14015677
1,62,1200,14053750
1,63,1200,14090833
1,64,1200,14126875
1,65,1200,14165625
1,66,1200,15297031
1,67,1200,15337760
1,68,1200,15375052
1,69,1200,15413489
1,70,1200,15452708
1,71,1200,15490156
1,72,1200,15529114
1,73,1200,15573854
1,74,1200,15614375
1,75,1200,15658177
1,76,1200,15698177
1,77,1200,15737552
1,78,1200,15775989
1,79,1200,15819062
1,80,1200,15858958
1,81,1200,15896979
1,82,1200,15935937
1,83,1200,15975729
1,84,1200,16013072
1,85,1200,16051510
1,86,1200,16095260
1,87,1200,16133541
1,88,1200,16171041
1,89,1200,16217916
1,90,1200,19941510
1,91,1200,20008333
1,92,1200,20066458
1,93,1200,20131197
1,94,1200,20187916
1,95,1200,20244583
1,96,1200,20299895
1,97,1200,20357239
1,98,1200,20416302
1,99,1200,20473281
1,100,1200,20536093
1,101,1200,20592447
1,102,1200,20648697
1,103,1200,20704843
1,104,1200,20760520
1,105,1200,20818697
1,106,1200,20874791
1,107,1200,20937239
1,108,1200,20992447
1,109,1200,21048385
1,110,1200,21105989
1,111,1200,21161822
