packet_id,delta_to_start_time,packet_nr,recv_bytes,repeat_nr,sequence_id,delta to next packet
1977,0,1,6200,1,1976,2706667
1978,2706667,2,6200,1,1976,440833
1979,3147500,3,6200,1,1976,59219
1980,3206719,4,6200,1,1976,42552
1981,3249271,5,6200,1,1976,1103281
1982,4352552,6,6200,1,1976,217135
1983,4569687,7,6200,1,1976,45521
1984,4615208,8,6200,1,1976,1545313
1985,6160521,9,6200,1,1976,440104
1986,6600625,10,6200,1,1976,90052
1987,6690677,11,6200,1,1976,39115
1988,6729792,12,6200,1,1976,3727031
1989,10456823,13,6200,1,1976,100729
1990,10557552,14,6200,1,1976,48177
1991,10605729,16,6200,1,1976,37448
1992,10643177,15,6200,1,1976,2552813
1993,13195990,17,6200,1,1976,538593
1994,13734583,18,6200,1,1976,37865
1995,13772448,19,6200,1,1976,31302
1996,13803750,20,6200,1,1976,1260156
1997,15063906,21,6200,1,1976,1246927
1998,16310833,22,6200,1,1976,65625
1999,16376458,23,6200,1,1976,70417
2000,16446875,24,6200,1,1976,36406
2001,16483281,25,6200,1,1976,884740
2002,17368021,26,6200,1,1976,1982083
2003,19350104,27,6200,1,1976,79323
2004,19429427,28,6200,1,1976,3151146
2005,22580573,29,6200,1,1976,97239
2006,22677812,30,6200,1,1976,39636
2007,22717448,31,6200,1,1976,42864
2008,22760312,32,6200,1,1976,36250
2009,22796562,33,6200,1,1976,1335261
2010,24131823,34,6200,1,1976,1472135
2011,25603958,35,6200,1,1976,105938
2012,25709896,36,6200,1,1976,37812
2013,25747708,37,6200,1,1976,964532
2014,26712240,38,6200,1,1976,1812135
2015,28524375,39,6200,1,1976,64427
2016,28588802,40,6200,1,1976,832448
2017,29421250,41,6200,1,1976,386302
2018,29807552,42,6200,1,1976,56927
2019,29864479,43,6200,1,1976,718125
2020,30582604,44,6200,1,1976,80625
2021,30663229,45,6200,1,1976,2615208
2022,33278437,46,6200,1,1976,1198021
2023,34476458,47,6200,1,1976,80417
